1	42	mild	1	88.43	74.86	0.8024	99.7 99.6 25.3
1	42	uniform	1	45.51	33.73	0.0362	100.0 1.2 0.0
1	42	mild	0	60.64	49.34	0.3884	99.7 34.1 14.2
1	42	natural	0	70.96	61.51	0.5389	84.7 71.6 28.2
1	123	natural	0	71.59	71.57	0.5745	89.0 50.6 75.1
1	456	natural	0	45.13	41.99	0.2133	78.1 11.1 36.8
1	123	mild	1	91.83	82.44	0.8625	99.5 99.7 48.1
1	456	mild	1	73.38	64.74	0.5782	100.0 57.0 37.2
1	123	mild	0	76.79	79.87	0.6533	99.0 44.4 96.2
1	456	mild	0	58.12	52.87	0.3786	99.7 17.6 41.4
1	42	mid	1	86.91	72.49	0.7762	100.0 97.4 20.1
1	123	mid	1	87.83	74.45	0.7929	99.4 98.2 25.7
1	456	mid	1	58.40	48.15	0.3612	99.9 27.0 17.6
1	42	mid	0	68.94	61.04	0.5171	99.8 46.1 37.2
1	123	mid	0	92.12	88.05	0.8717	99.6 90.5 74.1
1	456	mid	0	57.65	54.31	0.3778	99.5 13.2 50.2
1	123	uniform	1	84.55	66.55	0.7321	99.4 99.5 0.8
1	456	uniform	1	78.24	61.87	0.6321	99.8 82.1 3.8
1	42	uniform	0	74.36	60.45	0.5803	99.9 68.8 12.6
1	123	uniform	0	84.33	66.21	0.7288	99.1 99.5 0.0
1	456	uniform	0	73.67	57.74	0.5631	99.9 71.1 2.3
5	42	natural	0	73.35	65.23	0.3657	15.6 95.0 85.1
5	123	natural	0	88.22	92.34	0.6917	89.3 100.0 87.8
5	456	natural	0	80.20	83.73	0.5387	81.5 90.0 79.7
5	42	mild	1	85.05	73.97	0.5680	24.4 100.0 97.5
5	123	mild	1	95.49	91.16	0.8619	85.8 90.0 97.6
5	456	mild	1	82.96	73.12	0.5281	24.4 100.0 95.0
5	42	mild	0	79.87	69.67	0.4621	16.1 100.0 92.9
5	123	mild	0	94.49	95.68	0.8387	92.2 100.0 94.9
5	456	mild	0	79.03	75.61	0.4747	40.0 100.0 86.8
5	42	mid	1	84.88	72.02	0.5617	23.4 95.0 97.6
5	123	mid	1	96.99	85.29	0.9047	92.2 65.0 98.7
5	456	mid	1	80.12	68.74	0.4657	12.2 100.0 94.0
5	42	mid	0	81.62	66.70	0.4826	8.3 95.0 96.8
5	123	mid	0	94.24	87.42	0.8293	92.2 75.0 95.1
5	456	mid	0	78.95	72.63	0.4661	28.8 100.0 89.1
5	42	uniform	1	89.14	65.62	0.6635	48.3 50.0 98.6
5	123	uniform	1	88.30	74.68	0.6560	46.8 80.0 97.2
5	456	uniform	1	76.19	63.92	0.3866	0.0 100.0 91.8
5	42	uniform	0	84.13	54.19	0.5032	12.7 50.0 99.9
5	123	uniform	0	90.31	80.60	0.7140	60.0 85.0 96.8
5	456	uniform	0	74.10	63.07	0.3590	0.0 100.0 89.2
